log10_Energy,weight
0.22297752156211326,0.0
0.29327299363978826,0.0016633804259996556
0.3635684657174633,0.006585896779828453
0.4338639377951383,0.010466441505762652
0.5041594098728133,0.02799834738253676
0.5744548819504882,0.07272762525102813
0.6447503540281633,0.11350230587143745
0.7150458261058383,0.11518474849803573
0.7853412981835133,0.1017508989840327
0.8556367702611883,0.07898715174517457
0.9259322423388634,0.05988071134821374
0.9962277144165383,0.04463277132527176
1.0665231864942133,0.03275804506412108
1.1368186585718882,0.024866284632873725
1.2071141306495634,0.020073112539228454
1.2774096027272384,0.016850877089550402
1.3477050748049133,0.01552128717586555
1.4180005468825885,0.014625194608178503
1.4882960189602634,0.015824656055460355
1.5585914910379384,0.015619022835788487
1.6288869631156133,0.01465275838465505
1.6991824351932883,0.012017516391330266
1.7694779072709632,0.007072593779191179
1.8397733793486382,0.007194195488194411
1.9100688514263133,0.012986754675519996
1.9803643235039885,0.06564126399705884
2.0506597955816632,0.21601358200771364
2.1209552676593386,0.3793206150793248
